expName,expType,useLinear,useMetric,matchingMethod,selectionMethod,weightingMethod,useMultiresolution,numIterations,maxMatchingDist,samplingProba
bunny000,bunny,0,0,0,0,0,0,20,0.0003,1.0
bunny001,bunny,0,1,0,0,0,0,20,0.0003,1.0
bunny002,bunny,0,2,0,0,0,0,20,0.0003,1.0
bunny003,bunny,1,0,0,0,0,0,20,0.0003,1.0
bunny004,bunny,1,1,0,0,0,0,20,0.0003,1.0
bunny005,bunny,1,2,0,0,0,0,20,0.0003,1.0
bunny100,bunny,0,0,0,1,0,0,20,0.0003,0.5
bunny101,bunny,0,1,0,1,0,0,20,0.0003,0.5
bunny102,bunny,0,2,0,1,0,0,20,0.0003,0.5
bunny103,bunny,1,0,0,1,0,0,20,0.0003,0.5
bunny104,bunny,1,1,0,1,0,0,20,0.0003,0.5
bunny105,bunny,1,2,0,1,0,0,20,0.0003,0.5
bunny200,bunny,0,0,0,0,1,0,20,0.0003,1.0
bunny201,bunny,0,1,0,0,1,0,20,0.0003,1.0
bunny202,bunny,0,2,0,0,1,0,20,0.0003,1.0
bunny203,bunny,1,0,0,0,1,0,20,0.0003,1.0
bunny204,bunny,1,1,0,0,1,0,20,0.0003,1.0
bunny205,bunny,1,2,0,0,1,0,20,0.0003,1.0
bunny300,bunny,0,0,0,0,0,1,20,0.0003,1.0
bunny301,bunny,0,1,0,0,0,1,20,0.0003,1.0
bunny302,bunny,0,2,0,0,0,1,20,0.0003,1.0
bunny303,bunny,1,0,0,0,0,1,20,0.0003,1.0
bunny304,bunny,1,1,0,0,0,1,20,0.0003,1.0
bunny305,bunny,1,2,0,0,0,1,20,0.0003,1.0
